text,label
"none Hello, This is a one time mailing. We are looking for people who might be interested in working P/T from home. This position involves working 10-15 hours per week. You can expect to make $15-$25 per hour worked. To see a job description, you may go to  URL  Have a great day! --DeathToSpamDeathToSpamDeathToSpam-- ------------------------------------------------------- This sf.net email is sponsored by: Jabber - The world's fastest growing real-time communications platform! Don't just IM. Build it in!  URL  _______________________________________________ Spamassassin-Sightings mailing list Spamassassin-Sightings@lists.sourceforge.net  URL",spam
"Re: [ILUG] SUSE 8 disks? (thread changed slightly) On Mon, 2002-08-12 at 19:26, Rick Moen wrote: > NON-freely redistributable apps (in boxed sets): > ----------------------------------------------- > SAP database The same one as provided on  URL  Which is released under the GPL/LGPL? -- Irish Linux Users' Group: ilug@linux.ie  URL  for (un)subscription information. List maintainer: listmaster@linux.ie",ham
"[ILUG] mutt replies Hi David, Try putting ""set reverse_name"" in your .muttrc. Regards, Gavin. ********************************************************************** This email and any files transmitted with it are confidential and intended solely for the use of the individual or entity to whom they are addressed. If you have received this email in error please notify the system manager. This footnote also confirms that this email message has been swept by MIMEsweeper for the presence of computer viruses.  URL  ********************************************************************** -- Irish Linux Users' Group: ilug@linux.ie  URL  for (un)subscription information. List maintainer: listmaster@linux.ie",ham
"creating rpms with subdirs (install command) Hi, I'm building an rpm for the resin webserver, and I basically want to install the entire tarball under a diretory, but, the tarball includes subdirectorys, in my spec i have: install -s -m 755 %{name}-%{version}.%{release}/* \ $RPM_BUILD_ROOT/usr/local/resin and I'm getting: install: `resin-2.0.5/bin' is a directory install: `resin-2.0.5/conf' is a directory Is there a proper/nice way I should handle this? -- \m/ -- ""...if I seem super human I have been misunderstood."" (c) Dream Theater mark@talios.com - ICQ: 1934853 JID: talios@myjabber.net _______________________________________________ RPM-List mailing list <RPM-List@freshrpms.net>  URL",ham
"RE: [ILUG] VPN implementation On September 2, kialllists@redpie.com said: > OS-X is linux > Er, no it's not. It's kinda BSD-related, but it's definitely not Linux. Waider. -- waider@waider.ie / Yes, it /is/ very personal of me. ""Since I am project leader, I must not be permitted to go insane."" - Theo de Radt -- Irish Linux Users' Group: ilug@linux.ie  URL  for (un)subscription information. List maintainer: listmaster@linux.ie",ham
"Get out of debt quick! 4179uKlj5-057SXua1524UHkC5-900-28 <HTML><P ALIGN=CENTER><font ptsize=""14"" family=""SANSSERIF"" lang=""0"" face=""Arial"" size=""2"" color=""#CCCCFF"">kenya</font><FONT SIZE=4 PTSIZE=14 FAMILY=""SANSSERIF"" FACE=""Arial"" LANG=""0""><BR> Do you have too much debt?<BR> <BR> Would you like to lower your monthly payments <BR> and save money?<BR> <BR> Let us help you <A HREF="" URL  here</A><BR> <BR> <BR> </FONT> <P ALIGN=LEFT><FONT COLOR=""#000000"" BACK=""#ffffff"" style=""BACKGROUND-COLOR: #ffffff"" SIZE=2 PTSIZE=10 FAMILY=""SANSSERIF"" FACE=""Arial"" LANG=""0"">If you would like to be taken off our list, <A HREF="" URL  here</A></P></FONT> <p ALIGN=""center""><font style=""background-color: #ffffff"" back=""#ffffff"" size=""2"" ptsize=""10"" family=""SANSSERIF"" face=""Arial"" lang=""0"" color=""#CCCCFF"">2170uzHA6-646nlhK0895SDnb0-294BCPgl32</font></p> </HTML>",spam
"Free LTCI Policy Comparison Software Group Worksite LTCI with Phyllis Shelton ""The First Lady of LTCI"" and InsuranceIQ Free with purchase: LTC Policy Comparison Software! Free with purchase: LTC Policy Comparison Software! Long Term Care Insurance Worksite Marketing System Take advantage of the most current information available concerning the group LTCI market. Developed after months of exhaustive research and agent interviews, the Worksite Marketing System is THE resource for successful group enrollment. Included with your order: ? Agent Manual - all the ""how-to"" info including an implementation schedule ? Benefit Manager Flip Chart ? Presentation/Sales Script which promotes Long Term Care Insurance as ""Productivity Insurance"" ? Benefit Manager Sales Brochures ? Benefit Manager Direct Mail Letters ? Employer Announcement Letter ? Seven (7) Newsletter/E-Mail Articles to promote employee education prior to meetings ? 50 each of five (5) Payroll Stuffers ? 50 each of three (3) Employee Seminar Posters ? Employee Education Presentation on CD-ROM ? 150 Employee Education Brochures which promote Long Term Care Insurance as ""Lifestyle Insurance"" ? ""The Secret of a Successful Group Enrollment"" instructional audiotape ? A handsome gold embossed binder with storage pockets Click here for more information and pricing < URL  BONUS! Free with your order: The LTC Policy Comparison - a $120 value! Click here to view a demo PDF! < URL  This comprehensive LTCI policy review compares over 40 major companies in 17 benefit and ratings/asset categories and includes a premium comparison for a 60 year old couple. Over 210 policies are covered in this semi-annual publication. This is the oldest LTC policy comparison in the nation and is a valuable tool for any agent selling LTC insurance today. (Older generation policies are kept after new policies are introduced because agents encounter the older policies in the field.) The CD-ROM version allows you to compare up to three companies at a time in any of the 17 categories. You'll also receive a spreadsheet version to take with you all the time. We don't want anybody to receive our mailings who does not wish to receive them. This is professional communication sent to insurance professionals. To be removed from this mailing list, DO NOT REPLY to this message. Instead, go here:  URL  < URL  Legal Notice < URL",spam
"Re: [Razor-users] dot-tk registrations hitting Razor ""Craig R.Hughes"" said: > Hmm, tricky because we've got Razor1 and Razor2 rolled into one > rule. Probably should break them out as separate rules anyway > so they can get different scores, etc. Not too hard to do, but > it's nearly 11pm so I'll see if I can get to it tomorrow. IMO 2 separate rules is a good idea anyway, razor2 has totally different hitrates (generally better I think) to razor1. --j.",ham
"[ILUG] cups question I seem to be having a little trouble with it. My printers.conf is: <DefaultPrinter lp> Info Hp4050 Location locals DeviceURI ipp://192.168.2.90:9100/ State Idle Accepting Yes JobSheets none none QuotaPeriod 0 PageLimit 0 KLimit 0 </Printer> and cupds uses that to make a printcap of: lp: Sounds dodgy to me. If someone has an example printers.conf/printcap for a JetDirect printer, I'd appreciate it if they sent it on. John -- Irish Linux Users' Group: ilug@linux.ie  URL  for (un)subscription information. List maintainer: listmaster@linux.ie",ham
"[Spambayes] spambayes package? > That has the nasty side effect of placing all .py files in the > package. What about obvious executable scripts (like timtest or > hammie)? How can I keep them out of the package? Why would we care about installing a few extra files, as long as they're inside a package? --Guido van Rossum (home page:  URL",ham
